"Date";"close_price";"Signal"
"2017-10-16";700.4;"HOLD"
"2017-10-17";689.1;"HOLD"
"2017-10-18";690.05;"HOLD"
"2017-10-19";685.9;"HOLD"
"2017-10-23";685.6;"HOLD"
"2017-10-24";693.85;"HOLD"
"2017-10-25";693.4;"HOLD"
"2017-10-26";720.6;"HOLD"
"2017-10-27";718.05;"HOLD"
"2017-10-30";722.7;"HOLD"
"2017-10-31";725.3;"HOLD"
"2017-11-01";709.0;"HOLD"
"2017-11-02";708.2;"HOLD"
"2017-11-03";694.9;"HOLD"
"2017-11-06";706.3;"HOLD"
"2017-11-07";707.85;"HOLD"
"2017-11-08";694.4;"HOLD"
"2017-11-09";694.5;"HOLD"
"2017-11-10";707.9;"HOLD"
"2017-11-13";699.65;"HOLD"
"2017-11-14";701.0;"HOLD"
"2017-11-15";696.1;"HOLD"
"2017-11-16";705.3;"HOLD"
"2017-11-17";708.6;"HOLD"
"2017-11-20";708.7;"HOLD"
"2017-11-21";708.3;"HOLD"
"2017-11-22";718.75;"HOLD"
"2017-11-23";735.85;"HOLD"
"2017-11-24";739.3;"HOLD"
"2017-11-27";745.25;"HOLD"
"2017-11-28";743.1;"HOLD"
"2017-11-29";735.85;"HOLD"
"2017-11-30";718.8;"HOLD"
"2017-12-01";724.45;"HOLD"
"2017-12-04";725.45;"HOLD"
"2017-12-05";737.3;"HOLD"
"2017-12-06";734.1;"HOLD"
"2017-12-07";748.8;"HOLD"
"2017-12-08";747.2;"HOLD"
"2017-12-11";753.8;"HOLD"
"2017-12-12";760.0;"HOLD"
"2017-12-13";745.25;"HOLD"
"2017-12-14";750.3;"HOLD"
"2017-12-15";759.1;"HOLD"
"2017-12-18";761.3;"HOLD"
"2017-12-19";785.3;"HOLD"
"2017-12-20";778.45;"HOLD"
"2017-12-21";777.4;"HOLD"
"2017-12-22";774.85;"HOLD"
"2017-12-26";769.95;"HOLD"
"2017-12-27";769.0;"HOLD"
"2017-12-28";763.05;"HOLD"
"2017-12-29";771.3;"HOLD"
"2018-01-01";766.35;"HOLD"
"2018-01-02";775.6;"HOLD"
"2018-01-03";770.4;"HOLD"
"2018-01-04";765.95;"HOLD"
"2018-01-05";767.9;"HOLD"
"2018-01-08";767.0;"HOLD"
"2018-01-09";771.65;"HOLD"
"2018-01-10";768.25;"HOLD"
"2018-01-11";755.65;"HOLD"
"2018-01-12";750.85;"HOLD"
"2018-01-15";740.05;"HOLD"
"2018-01-16";722.65;"HOLD"
"2018-01-17";730.9;"HOLD"
"2018-01-18";718.3;"HOLD"
"2018-01-19";715.4;"HOLD"
"2018-01-22";714.4;"HOLD"
